"INSEE","NOMCLAIR","CP","NOMSIMPLE","REGION","DEPARTEMENT","MEN","POP","MENarr","POParr"
"41055","Chouzy-sur-Cisse","41150","CHOUZY SUR CISSE                      ",24,41,"837,2863250835","1899,5577511247",837,1900
"41056","La Colombe","41160","LA COLOMBE                            ",24,41,"80,7804878049","222,1463414634",81,222
"41057","Conan","41290","CONAN                                 ",24,41,"77,1231527094","219,1921182266",77,219
"41058","Concriers","41370","CONCRIERS                             ",24,41,72,164,72,164
"41059","Contres","41700","CONTRES                               ",24,41,"1579,7439752163","3373,6349940816",1580,3374
"41060","Cormenon","41170","CORMENON                              ",24,41,332,664,332,664
"41061","Cormeray","41120","CORMERAY                              ",24,41,"597,0697674419","1549,9689922481",597,1550
"41062","Couddes","41700","COUDDES                               ",24,41,"228,4007858546","513,9017681729",228,514
"41063","Couffy","41110","COUFFY                                ",24,41,"265,4476190476","547,2304761905",265,547
"41064","Coulanges","41150","COULANGES                             ",24,41,"136,8831168831","330,1298701299",137,330
"41065","Coulommiers-la-Tour","41100","COULOMMIERS LA TOUR                   ",24,41,204,508,204,508
"41066","Courbouzon","41500","COURBOUZON                            ",24,41,"191,1111111111","406,1111111111",191,406
"41067","Cour-Cheverny","41700","COUR CHEVERNY                         ",24,41,"1164,2615998755","2541,6927533577",1164,2542
